Exporting 96.120.37.81...
1: 10.1.10.1 (6ms)  10.1.10.1 (4ms)  10.1.10.1 (4ms)
2: 96.120.37.81 (44ms)  *  96.120.37.81 (18ms)
source,destination,trace,ttl,query,query_result,addr,rtt,hop_mean_ms,hop_median_ms,city,country,country_code,country_code_iso3,country_capital,region,region_code,latitude,longitude,timezone,utc_offset,asn,org
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,1,1,success,10.1.10.1,10,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,1,2,success,10.1.10.1,3,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,1,3,success,10.1.10.1,3,6,3,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,2,1,success,96.120.37.81,13,15,15,Washington,United States,US,USA,Washington,District of Columbia,DC,38.9208,-77.036,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,2,2,timeout,,,15,15,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,3a24a835-aff1-40c7-ad4c-d471b362aabe,2,3,success,96.120.37.81,18,15,15,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,1,1,success,10.1.10.1,6,5,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,1,2,success,10.1.10.1,4,5,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,1,3,success,10.1.10.1,4,5,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,2,1,success,96.120.37.81,44,31,31,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,2,2,timeout,,,31,31,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,605784ab-dc18-43f6-a575-1362d7df9606,2,3,success,96.120.37.81,18,31,31,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,1,1,success,10.1.10.1,11,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,1,2,success,10.1.10.1,4,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,1,3,success,10.1.10.1,3,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,2,1,success,96.120.37.81,13,13,13,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,2,2,timeout,,,13,13,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,7babb551-c7ba-436a-9449-001cbdf0ab6f,2,3,success,96.120.37.81,13,13,13,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,1,1,success,10.1.10.1,11,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,1,2,success,10.1.10.1,4,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,1,3,success,10.1.10.1,4,6,4,,,,,,,,,,,,,
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,2,1,success,96.120.37.81,11,41,41,Washington,United States,US,USA,Washington,District of Columbia,DC,,,America/New_York,-0400,AS7922,COMCAST-7922
10.1.10.58,96.120.37.81,833b4601-5741-48d3-9286-17567524544e,2,2,timeout,,,41,41,,,,,,,,,,,,,
